leagueId,tier,number
0031b6ce-2806-4074-9c38-cce850a6070a,IRON,39
0037e66c-3339-4a21-a4f9-1dc54813af89,BRONZE,56
00529d93-ac4c-4fe5-85bd-a825feb5a3e3,BRONZE,59
008a0d11-4b53-485b-8ffb-f06e8892c467,BRONZE,58
00b2a396-6f77-46bd-b4fc-2f980d3ea0e9,SILVER,155
00eccd24-411c-4df3-854d-f162dceba99b,BRONZE,60
0106bbdf-5366-442e-95a6-aa9756a93870,SILVER,200
0107cff2-76c8-481f-a0f4-cea87c8ceb3d,GOLD,200
011ca7cd-f18e-4408-a8e0-b9363592b5aa,GOLD,185
01253487-8f11-4ec9-96a8-39ada7af55d3,SILVER,100
012ba965-4c69-49e5-b420-aa0182c44045,GOLD,198
012c9be5-11c0-45d1-8f4c-0252d5172b7b,SILVER,167
013a2b22-8e71-4319-be9e-b85b4b79d666,PLATINUM,201
01455a59-61ba-443b-83c0-8d3a6574491d,BRONZE,132
0163eec4-591c-4b79-8001-2f9234a72f11,BRONZE,51
017e8700-9c96-4151-9222-806b1666345c,SILVER,103
01f008f7-dfe0-430e-9151-ca77693de35f,GOLD,108
020fa0c4-3f1d-47c3-a7f0-b2ef89197136,IRON,42
023279c8-12a2-46c1-8193-474e2b58a49f,IRON,27
02658846-182e-45ee-92ff-42be9cc721ea,GOLD,217
029bc60a-9eae-4dd4-8555-6b4a9c149165,GOLD,196
02d173ae-bdda-49d5-9ded-24d061317e44,GOLD,214
03129b62-26d3-45dc-bb56-267ab820c7b9,BRONZE,71
031ce845-73a5-417d-b8c5-898435a5f922,GOLD,113
03c8c2bd-1e0e-4079-a4f0-207517a3b5ab,GOLD,98
03ca2228-bd3c-4d42-8a40-5d68d27793df,GOLD,202
03e9bcb5-3025-48c7-92d1-0daa7eb7d151,SILVER,85
03f15153-b777-44c9-9c2a-d7b7c1e6365a,GOLD,146
042c8246-c859-4e60-a10b-bd6cb2697f9e,BRONZE,34
04cb808f-b1bc-4e44-bb6f-9c9b594fc3fc,SILVER,158
04ebe96f-4ef7-4a3c-9790-2cbf99ec6459,SILVER,165
051fe898-d4bd-4ff4-b050-601d870e3872,IRON,11
052c8310-cc23-49ad-ad64-f32a9e586b1a,SILVER,166
0532745c-1f79-47dc-b50c-6135be707a95,SILVER,96
053cc63a-8471-4306-9390-8b5063d0f31d,IRON,36
055e30af-0c53-4c10-b2a4-e0565bf9f62a,SILVER,77
057884e1-4061-45dc-a712-2c8c7b7608d8,GOLD,98
